State,County,Violent_crime,MNNM,"Rape
(revised 
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
Alabama,Autauga,72,0,15,,3,54,444,160,238,46,
Alabama,Baldwin,111,0,13,,27,71,674,250,380,44,
Alabama,Bibb,8,0,0,,0,8,123,65,40,18,
Alabama,Blount,91,0,9,,0,82,947,302,562,83,
Alabama,Calhoun,28,0,7,,5,16,453,183,259,11,
Alabama,Chilton,84,1,23,,1,59,604,228,332,44,
Alabama,Elmore,69,0,18,,6,45,783,269,494,20,
Alabama,Etowah,110,2,25,,3,80,607,261,310,36,
Alabama,Geneva,36,1,10,,1,24,296,87,186,23,
Alabama,Hale,39,0,3,,1,35,137,44,78,15,
Alabama,Henry,27,2,4,,1,20,146,75,61,10,
Alabama,Houston,103,0,25,,12,66,605,185,361,59,
Alabama,Jefferson,705,5,81,,183,436,"3,678","1,908","1,664",106,31
Alabama,Lawrence,65,2,9,,5,49,459,142,286,31,
Alabama,Limestone,86,0,14,,5,67,787,263,468,56,
Alabama,Lowndes,32,2,6,,1,23,213,99,88,26,
Alabama,Madison,317,1,62,,30,224,"2,215",630,"1,418",167,
Alabama,Mobile,224,5,48,,40,131,"2,387",739,"1,421",227,
Alabama,Montgomery,12,0,0,,3,9,146,76,53,17,
Alabama,Russell,55,3,10,,1,41,375,122,219,34,
Alabama,Tuscaloosa,223,6,7,,26,184,"1,446",461,872,113,
Alabama,Barbour,21,1,2,,2,16,115,43,63,9,
Alabama,Butler,35,1,6,,0,28,141,49,85,7,
Alabama,Chambers,4,0,0,,0,4,120,69,45,6,
Alabama,Cherokee,64,1,12,,1,50,448,169,250,29,
Alabama,Choctaw,7,0,0,,0,7,42,19,22,1,
Alabama,Clarke,56,0,6,,4,46,135,62,57,16,
Alabama,Cleburne,3,0,0,,0,3,100,38,61,1,
Alabama,Coffee,22,0,2,,2,18,174,68,90,16,
Alabama,Conecuh,28,1,4,,1,22,89,29,54,6,
Alabama,Coosa,13,0,2,,1,10,212,82,119,11,
Alabama,Covington,50,0,17,,1,32,381,105,246,30,
Alabama,Crenshaw,54,2,9,,4,39,153,68,71,14,
Alabama,Cullman,53,3,33,,1,16,929,310,563,56,
Alabama,Dale,34,1,9,,0,24,163,43,107,13,
Alabama,Dallas,60,2,9,,6,43,509,176,305,28,
Alabama,De Kalb,157,2,31,,3,121,801,333,395,73,
Alabama,Fayette,8,0,1,,1,6,97,31,58,8,
Alabama,Franklin,47,1,8,,4,34,285,102,173,10,
Alabama,Greene,35,1,1,,3,30,92,32,48,12,
Alabama,Jackson,100,1,33,,1,65,577,220,298,59,
Alabama,Macon,28,0,2,,6,20,189,84,88,17,
Alabama,Marengo,35,1,2,,2,30,194,72,107,15,
Alabama,Marion,22,1,2,,0,19,168,59,97,12,
Alabama,Monroe,20,0,0,,1,19,121,50,65,6,
Alabama,Pike,18,1,3,,2,12,107,29,71,7,
Alabama,Randolph,7,0,1,,0,6,176,81,94,1,
Alabama,Sumter,21,2,1,,3,15,71,30,37,4,
Alabama,Talladega,79,1,11,,11,56,858,315,479,64,
Alabama,Tallapoosa,21,2,10,,0,9,186,75,103,8,
Alabama,Washington,34,0,1,,0,33,165,55,97,13,
Alabama,Wilcox,29,2,2,,2,23,79,15,56,8,
Alabama,Winston,26,2,5,,0,19,168,86,74,8,
Arizona,Cochise,231,2,,9,9,211,706,106,558,42,0
Arizona,Coconino,109,1,,22,3,83,421,136,269,16,28
Arizona,Maricopa,"1,100",18,,79,78,925,"5,227","1,231","3,471",525,58
Arizona,Mohave,132,7,,5,13,107,"2,140",787,"1,190",163,
Arizona,Pima,679,16,,80,153,430,"9,606","2,124","6,794",688,74
Arizona,Pinal4,158,8,,28,18,104,,618,"2,754",,12
Arizona,Yavapai,160,1,,30,7,122,"1,242",396,736,110,10
Arizona,Yuma,163,6,15,,4,138,"1,179",557,539,83,9
Arizona,Apache,53,0,,2,3,48,206,96,101,9,35
Arizona,Gila,64,1,,3,1,59,407,89,278,40,
Arizona,Graham,96,0,,1,0,95,172,50,103,19,1
Arizona,La Paz,53,0,,0,4,49,386,103,255,28,1
Arizona,Navajo,54,0,,4,0,50,505,268,190,47,4
Arizona,Santa Cruz,2,0,,0,1,1,202,78,89,35,0
Arkansas,Benton,85,1,27,,2,55,417,198,197,22,8
Arkansas,Cleveland,1,0,0,,0,1,99,52,44,3,2
Arkansas,Craighead,16,0,8,,0,8,258,114,136,8,3
Arkansas,Crawford,91,1,6,,2,82,404,91,279,34,0
Arkansas,Crittenden,140,0,6,,3,131,453,163,254,36,4
Arkansas,Faulkner,95,1,23,,1,70,"1,179",347,708,124,7
Arkansas,Garland,319,2,45,,17,255,"1,997",826,"1,076",95,0
Arkansas,Grant,20,0,2,,0,18,202,75,111,16,0
Arkansas,Jefferson,53,2,13,,1,37,537,210,269,58,4
Arkansas,Lincoln,6,0,0,,0,6,52,27,22,3,0
Arkansas,Lonoke,52,1,6,,2,43,339,72,181,86,6
Arkansas,Madison,34,0,4,,2,28,107,61,43,3,2
Arkansas,Perry,39,0,4,,0,35,233,73,155,5,0
Arkansas,Poinsett,4,0,2,,1,1,99,1,97,1,0
Arkansas,Pulaski,317,0,16,,28,273,"2,247",885,"1,149",213,17
Arkansas,Sebastian,55,0,7,,1,47,334,99,219,16,1
Arkansas,Washington,160,1,17,,1,141,492,191,270,31,5
Arkansas,Arkansas,16,2,2,,0,12,144,33,88,23,0
Arkansas,Ashley,14,0,5,,0,9,199,59,127,13,1
Arkansas,Baxter,18,1,6,,0,11,670,180,465,25,1
Arkansas,Bradley,9,0,0,,1,8,29,8,14,7,0
Arkansas,Calhoun,4,0,1,,0,3,18,5,8,5,0
Arkansas,Carroll,25,0,4,,0,21,302,51,230,21,0
Arkansas,Chicot,5,0,0,,2,3,98,37,60,1,0
Arkansas,Clark,10,0,1,,0,9,114,37,72,5,0
Arkansas,Clay,19,0,12,,0,7,52,25,27,0,2
Arkansas,Cleburne,34,1,3,,1,29,516,210,279,27,4
Arkansas,Columbia,33,0,2,,2,29,135,39,82,14,1
Arkansas,Conway,20,0,1,,0,19,348,74,249,25,4
Arkansas,Cross,37,0,4,,0,33,172,69,91,12,1
Arkansas,Dallas,3,0,1,,0,2,41,20,21,0,1
Arkansas,Drew,31,0,2,,1,28,157,51,90,16,3
Arkansas,Franklin,28,0,4,,0,24,217,71,139,7,3
Arkansas,Fulton,16,0,4,,0,12,66,0,53,13,1
Arkansas,Greene,13,0,0,,0,13,263,99,160,4,2
Arkansas,Hempstead,61,0,9,,1,51,274,64,191,19,6
Arkansas,Howard,7,0,4,,0,3,112,43,68,1,2
Arkansas,Independence,179,4,21,,13,141,"1,393",513,801,79,19
Arkansas,Izard,21,2,4,,0,15,251,90,159,2,3
Arkansas,Johnson,22,2,9,,0,11,203,143,55,5,2
Arkansas,Lawrence,1,0,0,,0,1,59,13,45,1,0
Arkansas,Logan,24,2,4,,0,18,276,119,136,21,2
Arkansas,Marion,42,1,4,,1,36,191,72,117,2,2
Arkansas,Mississippi,36,0,4,,3,29,428,114,254,60,1
Arkansas,Montgomery,12,0,5,,0,7,70,22,38,10,0
Arkansas,Newton,22,0,0,,0,22,91,36,49,6,0
Arkansas,Ouachita,19,1,1,,0,17,134,55,71,8,1
Arkansas,Pike,10,4,4,,0,2,61,19,39,3,0
Arkansas,Polk,21,0,7,,0,14,202,61,127,14,6
Arkansas,Pope,68,0,7,,2,59,432,164,237,31,1
Arkansas,Randolph,19,0,1,,1,17,257,75,170,12,6
Arkansas,Scott,11,0,2,,1,8,115,56,50,9,1
Arkansas,Searcy,18,0,1,,0,17,30,8,17,5,0
Arkansas,Sevier,19,0,3,,1,15,203,71,113,19,1
Arkansas,St. Francis,14,1,2,,1,10,344,103,240,1,2
