State,County,Violent_crime,MNNM,"Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Alabama,Autauga,69,0,13,,6,50,344,111,187,46,
Alabama,Baldwin,115,0,9,,33,73,648,225,390,33,
Alabama,Bibb,7,0,2,,1,4,41,20,18,3,
Alabama,Blount,204,5,16,,5,178,832,247,503,82,
Alabama,Calhoun,16,0,4,,1,11,413,181,225,7,
Alabama,Chilton,120,0,23,,1,96,575,263,274,38,
Alabama,Elmore,93,5,17,,5,66,"1,141",495,574,72,
Alabama,Etowah,113,1,23,,2,87,561,214,298,49,
Alabama,Geneva,41,0,9,,0,32,229,91,113,25,
Alabama,Henry,36,0,8,,3,25,162,78,64,20,
Alabama,Houston,97,3,16,,5,73,609,191,387,31,
Alabama,Jefferson,787,10,91,,202,484,"3,436","1,903","1,392",141,
Alabama,Lawrence,46,1,5,,0,40,336,123,185,28,
Alabama,Limestone,50,2,8,,3,37,567,159,384,24,
Alabama,Lowndes,44,0,10,,11,23,187,56,109,22,
Alabama,Madison,366,7,52,,46,261,"2,052",633,"1,252",167,
Alabama,Mobile,114,4,26,,21,63,"1,924",607,"1,124",193,
Alabama,Montgomery,19,0,2,,6,11,188,61,108,19,
Alabama,Morgan,42,0,10,,2,30,381,195,165,21,
Alabama,Pickens,11,0,5,,0,6,33,16,17,0,
Alabama,Russell,45,0,10,,4,31,395,134,233,28,
Alabama,Shelby,131,3,40,,15,73,"1,140",296,754,90,
Alabama,Tuscaloosa,182,2,9,,18,153,"1,073",307,664,102,
Alabama,Walker,127,1,23,,9,94,"1,114",382,604,128,
Alabama,Barbour,32,2,4,,0,26,115,59,45,11,
Alabama,Bullock,21,0,0,,8,13,52,34,17,1,
Alabama,Butler,41,1,2,,1,37,166,65,90,11,
Alabama,Chambers,3,0,0,,0,3,61,27,34,0,
Alabama,Cherokee,52,2,8,,3,39,346,118,194,34,
Alabama,Choctaw,7,0,0,,1,6,34,15,15,4,
Alabama,Clarke,48,3,5,,2,38,63,25,33,5,
Alabama,Clay,9,0,0,,0,9,15,4,7,4,
Alabama,Cleburne,6,0,1,,1,4,143,50,90,3,
Alabama,Coffee,31,1,7,,3,20,192,82,91,19,
Alabama,Coosa,21,1,0,,4,16,156,58,88,10,
Alabama,Covington,36,0,12,,0,24,232,86,119,27,
