State,County,Violent_crime,MNNM,Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
ALABAMA3,,,,,,,,,,,
Arizona,Cochise,47,0,1,3,43,531,195,273,63,5
Arizona,Coconino,127,6,17,1,103,264,59,180,25,6
Arizona,Mohave,135,3,6,19,107,"1,983",573,"1,197",213,13
Arizona,Pinal,197,3,5,18,171,"1,469",321,987,161,
Arizona,Yavapai,193,5,0,4,184,860,155,608,97,10
Arizona,Yuma,136,7,17,6,106,807,223,502,82,7
Arizona,Gila,176,1,3,5,167,384,65,252,67,
Arizona,Graham,61,4,0,0,57,104,20,76,8,12
Arizona,La Paz,40,1,2,3,34,310,87,181,42,1
Arizona,Navajo,43,1,0,5,37,341,192,115,34,5
Arizona,Santa Cruz,1,0,0,0,1,117,35,66,16,0
Arkansas,Benton4,159,3,32,3,121,,,188,61,1
Arkansas,Cleveland,20,0,4,0,16,162,90,56,16,2
Arkansas,Craighead,48,2,16,1,29,315,108,168,39,3
Arkansas,Crawford,55,1,1,1,52,254,37,188,29,0
Arkansas,Crittenden,123,3,9,8,103,286,83,182,21,1
Arkansas,Faulkner,116,1,18,5,92,749,176,476,97,6
Arkansas,Garland4,279,0,25,8,246,,,675,145,0
Arkansas,Grant,28,0,3,1,24,167,53,86,28,1
Arkansas,Jefferson,78,4,12,2,60,414,110,247,57,7
Arkansas,Lincoln,14,0,7,0,7,40,15,20,5,0
Arkansas,Little River,10,0,1,1,8,93,27,58,8,1
Arkansas,Lonoke,75,1,8,0,66,374,68,220,86,4
Arkansas,Madison,44,1,5,1,37,169,48,99,22,3
Arkansas,Miller,57,0,8,1,48,199,68,113,18,0
Arkansas,Perry,29,0,7,0,22,95,23,72,0,0
Arkansas,Poinsett,42,0,4,0,38,138,60,50,28,0
Arkansas,Pulaski,428,4,31,27,366,"1,638",353,"1,123",162,9
Arkansas,Saline4,187,7,31,2,147,,,376,81,2
Arkansas,Sebastian,45,0,6,0,39,223,83,127,13,1
Arkansas,Washington,177,5,6,1,165,572,139,346,87,8
Arkansas,Arkansas,15,0,1,1,13,58,14,42,2,1
Arkansas,Ashley,22,0,1,2,19,153,38,98,17,3
Arkansas,Baxter,70,1,15,1,53,616,81,472,63,5
Arkansas,Boone,199,0,30,1,168,269,79,150,40,1
Arkansas,Bradley,8,0,0,0,8,51,31,12,8,0
Arkansas,Calhoun,11,0,0,0,11,68,22,34,12,0
Arkansas,Carroll,45,0,5,1,39,209,52,111,46,1
Arkansas,Chicot,13,0,2,0,11,76,18,58,0,0
Arkansas,Clark,11,0,0,0,11,70,19,42,9,0
Arkansas,Cleburne,142,0,21,4,117,297,86,185,26,6
Arkansas,Columbia,23,1,2,0,20,67,21,37,9,0
Arkansas,Conway,46,2,13,1,30,234,43,164,27,9
Arkansas,Drew,16,0,4,0,12,66,23,37,6,0
Arkansas,Fulton,29,0,3,0,26,51,0,45,6,0
Arkansas,Hempstead,29,0,6,1,22,143,41,75,27,1
Arkansas,Howard,20,0,4,0,16,57,29,25,3,0
Arkansas,Independence,153,1,44,2,106,367,110,209,48,14
Arkansas,Izard,33,0,8,0,25,197,55,130,12,5
Arkansas,Jackson,45,1,6,1,37,119,10,80,29,5
Arkansas,Johnson,40,0,7,0,33,114,47,51,16,2
Arkansas,Lee,13,1,4,0,8,101,26,64,11,1
Arkansas,Logan,36,0,10,0,26,162,35,117,10,6
Arkansas,Marion,32,0,9,0,23,243,80,150,13,0
Arkansas,Mississippi,23,0,3,2,18,247,81,133,33,3
Arkansas,Monroe,1,0,1,0,0,32,3,14,15,1
Arkansas,Pike,10,0,3,0,7,73,22,49,2,1
