State,County,Violent_crime,MNNM,Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Alabama,Autauga,62,2,12,3,45,265,43,177,45,4
Alabama,Bibb,26,0,1,0,25,104,30,50,24,0
Alabama,Blount,66,1,13,1,51,259,63,140,56,3
Alabama,Colbert,61,3,3,8,47,241,78,133,30,3
Alabama,Etowah,27,0,5,0,22,121,37,61,23,1
Alabama,Geneva,23,1,4,0,18,151,30,89,32,1
Alabama,Henry,21,5,3,0,13,51,10,34,7,0
Alabama,Houston,11,1,0,0,10,113,51,47,15,0
Alabama,Lauderdale,44,0,4,2,38,428,77,306,45,5
Alabama,Lawrence,22,2,3,0,17,76,24,30,22,1
Alabama,Lowndes,64,9,3,5,47,224,49,122,53,4
Alabama,Mobile,265,10,16,8,231,"1,288",337,704,247,13
Alabama,Shelby,5,0,2,0,3,24,8,12,4,0
Alabama,St. Clair,42,0,5,2,35,121,47,54,20,3
Alabama,Washington,21,0,3,0,18,99,18,61,20,5
Alabama,Barbour,19,0,1,0,18,55,11,29,15,0
Alabama,Cherokee,71,1,8,0,62,339,74,169,96,6
Alabama,Clarke,63,1,3,2,57,99,34,53,12,3
Alabama,Clay,25,0,1,0,24,65,25,37,3,0
Alabama,Cleburne,18,1,2,0,15,188,40,133,15,0
Alabama,Covington,8,0,0,0,8,101,18,65,18,0
Alabama,Crenshaw,15,1,2,0,12,74,14,39,21,1
Alabama,Cullman,109,1,17,6,85,918,228,537,153,2
Alabama,Dallas,81,3,4,9,65,302,58,182,62,5
Alabama,DeKalb,56,1,6,0,49,169,41,91,37,5
Alabama,Fayette,3,0,0,0,3,27,4,9,14,0
Alabama,Macon,5,0,1,0,4,16,1,9,6,1
Alabama,Marengo,7,1,0,0,6,38,14,15,9,0
Alabama,Marion,2,0,0,0,2,34,6,15,13,0
Alabama,Marshall,37,1,7,1,28,295,144,109,42,3
Alabama,Monroe,18,1,1,1,15,39,7,28,4,0
Alabama,Randolph,34,0,0,0,34,210,54,142,14,0
Alabama,Talladega,90,2,10,6,72,406,101,231,74,1
Alabama,Tallapoosa,34,5,4,3,22,83,24,51,8,1
Alabama,Winston,9,0,3,0,6,88,25,58,5,0
Arizona,Cochise,86,7,3,4,72,296,85,162,49,4
Arizona,Coconino,94,2,12,5,75,213,69,130,14,5
Arizona,Mohave,246,11,81,16,138,"1,649",469,971,209,16
Arizona,Pima,910,23,74,113,700,"7,024","1,094","5,445",485,51
Arizona,Pinal,311,6,9,11,285,"1,531",299,"1,015",217,7
Arizona,Yavapai,260,1,14,2,243,602,123,394,85,11
Arizona,Yuma,176,0,29,8,139,937,248,568,121,17
Arkansas,Benton,175,9,28,5,133,400,99,226,75,5
Arkansas,Cleveland,17,0,1,0,16,130,53,65,12,4
Arkansas,Craighead,52,4,14,0,34,314,105,167,42,8
Arkansas,Crawford,56,0,7,0,49,308,44,199,65,1
Arkansas,Crittenden,188,9,17,11,151,263,64,157,42,3
Arkansas,Faulkner,152,0,18,6,128,786,160,494,132,7
Arkansas,Franklin,59,0,7,0,52,131,39,79,13,0
Arkansas,Garland,360,2,33,7,318,"1,260",536,583,141,0
Arkansas,Grant,34,0,1,0,33,179,49,107,23,0
Arkansas,Jefferson,82,7,9,5,61,440,107,254,79,9
Arkansas,Lincoln,4,0,0,0,4,36,10,19,7,0
Arkansas,Little River,20,0,6,0,14,82,21,54,7,2
Arkansas,Lonoke,122,5,15,6,96,366,41,228,97,2
Arkansas,Madison,56,5,13,0,38,128,39,61,28,4
Arkansas,Miller,63,2,12,0,49,147,40,87,20,1
Arkansas,Perry,24,0,1,0,23,121,33,88,0,0
Arkansas,Poinsett,31,0,5,0,26,100,30,40,30,4
Arkansas,Pulaski,722,4,31,13,674,"1,593",276,"1,058",259,27
Arkansas,Saline,165,3,41,8,113,712,361,267,84,1
Arkansas,Sebastian,37,0,4,1,32,112,31,70,11,2
Arkansas,Washington,125,1,18,1,105,552,109,367,76,9
Arkansas,Arkansas,28,0,2,0,26,62,13,46,3,3
Arkansas,Ashley,24,1,5,1,17,105,15,83,7,0
Arkansas,Baxter,43,1,11,0,31,402,78,281,43,7
Arkansas,Boone,108,4,29,1,74,134,39,74,21,5
Arkansas,Bradley,7,0,4,0,3,26,11,13,2,1
Arkansas,Calhoun,9,0,1,0,8,57,12,35,10,0
Arkansas,Carroll,37,1,2,0,34,91,19,48,24,2
Arkansas,Chicot,13,1,3,0,9,80,21,59,0,0
Arkansas,Clark,24,0,5,0,19,69,19,34,16,2
Arkansas,Cleburne,188,0,23,1,164,288,84,179,25,7
Arkansas,Columbia,37,1,2,1,33,130,26,93,11,2
Arkansas,Conway,72,0,10,1,61,260,46,182,32,6
